"","X","original_title","original_language","adult","backdrop_path","homepage","id","imdb_id","rent_options","buy_options","flatrate_options","all_uniq_providers","All_providers_nos","Rent_providers_nos","Buy_providers_nos","Stream_providers_nos","poster_path","release_date","status","title","video","genre","production_companies","belongs_to_collection","spoken_languages","production_countries","keywords","director","moreThan1ProductionCountry","moreThan1Genre","moreThan1ProductionCompany","moreThan1Keyword","moreThan1Director","moreThanSpokenLanguage","release_d","release_year","taglinepresent","collectionyes","revenue","budget","runtime","popularity","vote_average","vote_count","review_count","cast_size","crew_size","release_month","Imdb_Rating","Imdb_vote_count","profit_factor","Target","directedByAPopular","belongs_to_topProfitProdComp","avg_coll_revenue.x","avg_coll_revenue.y","release_week","movies_released_same_week","belongs_to_topProfitGenres","avg_rev_by_crew_size","avg_rev_by_cast_size","cast_crew_ratio","holidaymonth","costPerCapita"
"1",1,"xXx: Return of Xander Cage","en",FALSE,"/7KAXYsemH14agl4ohhNeIxwWXhj.jpg","",47971,"tt1293847","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,","fuboTV,FXNow,DIRECTV,Sling TV,USA Network,","Vudu, Google Play Movies, FandangoNOW, DIRECTV, Microsoft Store, Redbox, YouTube, Amazon Video",8,7,8,5,"/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg","1/13/2017","Released","xXx: Return of Xander Cage",FALSE,"Action ","Rox Productions ","xXx Collection","en,","CA ","tattoo ","D.J. Caruso ",1,1,1,1,0,0,2017-01-13,"2017",1,1,346147658,85000000,107,70.153,5.7,3325,4,38,116,1,5.2,84619,307.232538823529,1,0,0,346147658,346147658,"02",102,1,243987432,80227181.0434783,0.327586206896552,0,551948.051948052
"2",2,"Split","en",FALSE,"/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg","http://www.splitmovie.com/",381288,"tt4972582","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","fuboTV,FXNow,DIRECTV,","Vudu, Google Play Movies, FandangoNOW, FXNow, DIRECTV, fuboTV, AMC on Demand, Apple iTunes, Microsoft Store, Redbox, YouTube, Amazon Video",12,10,10,3,"/kBvO58pt13dgYImjZNjq6QiOT8n.jpg","1/9/2017","Released","Split",FALSE,"Horror ","Universal Pictures ","","en,","US ","child abuse ","M. Night Shyamalan ",0,1,1,1,0,0,2017-01-09,"2017",1,0,278454358,9000000,117,47.971,7.3,13173,7,41,83,1,7.3,418310,2993.93731111111,1,0,0,45072822.2708924,45072822.2708924,"02",102,1,116149742,133882971.066667,0.493975903614458,0,72580.6451612903
"3",3,"Притяжение","ru",FALSE,"/1u6RzWdFo4COegWqd6TydL3v9NS.jpg","",401513,"tt4731148","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,","WWE Network,","Vudu, Google Play Movies, FandangoNOW, WWE Network, Microsoft Store, YouTube, Amazon Video",7,6,6,1,"/2lz2GVDsgMlGYSzPl8BeKqqU7MQ.jpg","1/26/2017","Released","Attraction",FALSE,"Drama ","Vodorod 2011 ","Attraction Collection","ru,","RU ","russia ","Fyodor Bondarchuk ",0,1,1,1,0,0,2017-01-26,"2017",1,1,19454845,5027266,117,29.317,6.4,468,2,22,12,1,5.6,10724,286.986584756009,1,0,0,25779449.5,25779449.5,"04",125,1,46087796.1717791,52402890.1355932,1.83333333333333,0,147860.764705882
"4",6,"A Dog's Purpose","en",FALSE,"/2ddVTlMyATZdvUHE7DPExA2X6xF.jpg","https://www.uphe.com/movies/a-dogs-purpose",381289,"tt1753383","Apple iTunes,Google Play Movies,Amazon Video,YouTube,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","Apple iTunes,Google Play Movies,Amazon Video,YouTube,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","fuboTV,FXNow,DIRECTV,","Vudu, Google Play Movies, FXNow, DIRECTV, fuboTV, AMC on Demand, Apple iTunes, Microsoft Store, Redbox, YouTube, Amazon Video",11,9,9,3,"/3jcNvhtVQe5Neoffdic39fRactM.jpg","1/19/2017","Released","A Dog's Purpose",FALSE,"Comedy ","Amblin Entertainment ","A Dog's Purpose Collection","en,","IN ","based on novel or book ","Lasse Hallström ",1,1,1,1,0,0,2017-01-19,"2017",1,1,194647323,22000000,100,27.477,7.5,2289,1,60,66,1,7.2,64729,784.760559090909,1,0,0,71603726.6666667,71603726.6666667,"03",133,1,54038749.75,63043720.2631579,0.909090909090909,0,174603.174603175
"5",7,"Sleepless","en",FALSE,"/9VEOQvCnd8T8wILgyqjKgyhALw4.jpg","http://www.sleeplessmovie.com/",324542,"tt2072233","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,AMC on Demand,","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","Bet+ Amazon Channel,","Vudu, Fandango, Google Play Movies, FandangoNOW, AMC on Demand, Apple iTunes, Microsoft Store, Redbox, YouTube, Amazon Video",9,9,10,1,"/9WkUSY33MDPGmz0vtzbsfaxTHVa.jpg","1/12/2017","Released","Sleepless",FALSE,"Action ","Vertigo Entertainment ","","en,","US ","robbery ","Baran bo Odar ",0,1,1,1,0,0,2017-01-12,"2017",1,0,32540674,30000000,95,20.073,5.9,947,2,19,109,1,5.6,29751,8.46891333333333,1,0,0,45072822.2708924,45072822.2708924,"02",102,1,16323472,29326629.3125,0.174311926605505,0,234375
"6",8,"The Bye Bye Man","en",FALSE,"/xoh4iWOQ3l0JFFD8BBrmLMTvKSU.jpg","http://stxmovies.com/thebyebyeman/",292280,"tt4030600","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,FlixFling,AMC on Demand,","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,","Netflix,","Vudu, Google Play Movies, FandangoNOW, DIRECTV, AMC on Demand, Microsoft Store, Redbox, YouTube, FlixFling, Amazon Video",9,10,8,1,"/bape74Eeli5NJ6x4UKuUr604xXh.jpg","1/12/2017","Released","The Bye Bye Man",FALSE,"Horror ","Los Angeles Media Fund ","","en,","US ","wisconsin ","Stacy Title ",0,1,1,1,0,0,2017-01-12,"2017",1,0,26667197,7400000,96,20.794,5.2,931,3,20,54,1,4.2,21671,260.367527027027,1,0,0,45072822.2708924,45072822.2708924,"02",102,1,24646993.8461538,56641579.1058824,0.37037037037037,0,100000
"7",9,"Molly's Game","en",FALSE,"/yvbXGWjg30sj7rohEZvSe90jSJC.jpg","http://mollysgame.movie/",396371,"tt4209788","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,","Netflix,","Vudu, Google Play Movies, FandangoNOW, DIRECTV, Netflix, Apple iTunes, Microsoft Store, Redbox, YouTube, Amazon Video",10,9,9,1,"/in43bQ7k0ttr666IPP94IlbQbTR.jpg","1/1/2017","Released","Molly's Game",FALSE,"Crime ","The Mark Gordon Company ","","en,","CA ","new york city ","Aaron Sorkin ",1,1,1,1,0,0,2017-01-01,"2017",1,0,59284015,30000000,140,20.593,7.1,2542,1,98,157,1,7.4,139688,97.6133833333333,1,0,0,45072822.2708924,45072822.2708924,"52",143,1,29938290,30497271.5,0.624203821656051,0,117647.058823529
"8",10,"The Post","en",FALSE,"/8sb4aBST28vN3rBz704XJczS0Ld.jpg","https://www.foxmovies.com/movies/the-post",446354,"tt6294822","Google Play Movies,Amazon Video,YouTube,Vudu,Microsoft Store,Redbox,DIRECTV,","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,","FXNow,Sling TV,","Vudu, Google Play Movies, FandangoNOW, FXNo, DIRECTV, Microsoft Store, Redbox, YouTube, Amazon Video",8,7,8,2,"/h4XG3g6uMMPIBPjAoQhC2QIMdkl.jpg","1/19/2017","Released","The Post",FALSE,"Drama ","20th Century Fox ","","en,","US ","washington d.c. ","Steven Spielberg ",0,1,1,1,0,0,2017-01-19,"2017",1,0,179769467,50000000,116,19.685,7,3405,2,83,142,1,7.2,134063,259.538934,1,0,0,45072822.2708924,45072822.2708924,"03",133,1,68969790,62111428.6666667,0.584507042253521,0,222222.222222222
"9",11,"Thoroughbreds","en",FALSE,"/99Rd26ceIhonpOP5JoqcXYqnkD.jpg","",397722,"tt5649108","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Microsoft Store,Redbox,DIRECTV,","Apple iTunes,Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","fuboTV,FXNow,DIRECTV,Spectrum On Demand,","Vudu, Google Play Movies, FandangoNOW, DIRECTV, Apple iTunes, Mi, Microsoft Store, Redbox, YouTube, Amazon Video",9,8,10,4,"/pIxZzTfITqBpZxbIGsV01DcoHsT.jpg","1/21/2017","Released","Thoroughbreds",FALSE,"Drama ","June Pictures ","","en,","US ","upper class ","Cory Finley ",0,1,1,1,0,0,2017-01-21,"2017",1,0,2830775,100000000,92,13.339,6.4,650,1,21,26,1,6.7,33991,-97.169225,0,0,0,45072822.2708924,45072822.2708924,"03",133,1,68367635.6590909,24062060.3968254,0.807692307692308,0,2127659.57446809
"10",12,"The Space Between Us","en",FALSE,"/bmX9R1kzY0fVjR0ZVQUwzD17xFd.jpg","http://stxmovies.com/thespacebetweenus/",365942,"tt3922818","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,FlixFling,AMC on Demand,","Google Play Movies,Amazon Video,YouTube,FandangoNOW,Vudu,Microsoft Store,Redbox,DIRECTV,AMC on Demand,","Netflix,","Vudu, Google Play Movies, FandangoNOW, Microso, AMC on Demand, Microsoft Store, Redbox, YouTube, FlixFling, Amazon Video",9,9,9,1,"/7qZzPkOoauJz5ImOvBd4XgnKs1B.jpg","1/26/2017","Released","The Space Between Us",FALSE,"Romance ","Los Angeles Media Fund ","","en,","US ","planet mars ","Peter Chelsom ",0,1,1,1,0,0,2017-01-26,"2017",1,0,14793385,30000000,121,18.666,7.1,1904,2,63,83,1,6.4,47640,-50.6887166666667,0,0,0,45072822.2708924,45072822.2708924,"04",125,1,116149742,232625902,0.759036144578313,0,205479.452054795
