"","X","original_title","original_language","adult","budget","backdrop_path","homepage","id","imdb_id","popularity","poster_path","release_date","revenue","runtime","status","tagline","title","video","vote_average","vote_count","genre","production_companies","belongs_to_collection","spoken_languages","production_countries","review_count","keywords","cast_size","crew_size","director"
"1",1,"xXx: Return of Xander Cage","en","False",85000000,"/7KAXYsemH14agl4ohhNeIxwWXhj.jpg","",47971,"tt1293847",70.153,"/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg","2017-01-13",346147658,107,"Released","There are no more patriots, just rebels and tyrants.","xXx: Return of Xander Cage","False",5.7,3325,"Action,Adventure,Crime,","Rox Productions,Revolution Studios,Maple Cage Productions,Huahua Media,RK films,Shanghai Film Group,One Race,","xXx Collection","en,","CA,CN,US,",4,"tattoo,spy,extreme sports,airplane,secret agent,parachute,swimming pool,sequel,back from the dead,dominican republic,free fall,",38,116,"D.J. Caruso,"
"2",2,"Split","en","False",9000000,"/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg","http://www.splitmovie.com/",381288,"tt4972582",47.971,"/kBvO58pt13dgYImjZNjq6QiOT8n.jpg","2017-01-09",278454358,117,"Released","Kevin has 23 distinct personalities. The 24th is about to be unleashed.","Split","False",7.3,13173,"Horror,Thriller,","Universal Pictures,Blinding Edge Pictures,Blumhouse Productions,","","en,","US,",7,"child abuse,kidnapping,sequel,gore,stalking,teenage girl,blood,violence,super power,mental illness,multiple personality,traumatic childhood,dissociative identity disorder,",41,83,"M. Night Shyamalan,"
"3",3,"Притяжение","ru","False",5027266,"/1u6RzWdFo4COegWqd6TydL3v9NS.jpg","",401513,"tt4731148",29.317,"/2lz2GVDsgMlGYSzPl8BeKqqU7MQ.jpg","2017-01-26",19454845,117,"Released","The Earth is for Humans","Attraction","False",6.4,468,"Drama,Romance,Science Fiction,Adventure,","Vodorod 2011,Art Pictures Studio,","Attraction Collection","ru,","RU,",0,"russia,ufo,extraterrestrial,alien,ufo crash site,alien ship,",22,12,"Fyodor Bondarchuk,"
"6",6,"A Dog's Purpose","en","False",22000000,"/2ddVTlMyATZdvUHE7DPExA2X6xF.jpg","https://www.uphe.com/movies/a-dogs-purpose",381289,"tt1753383",27.477,"/3jcNvhtVQe5Neoffdic39fRactM.jpg","2017-01-19",194647323,100,"Released","Every dog happens for a reason.","A Dog's Purpose","False",7.5,2289,"Comedy,Drama,Family,Fantasy,Adventure,","Amblin Entertainment,Pariah Entertainment Group,Walden Media,Reliance Entertainment,Amblin Partners,DreamWorks Pictures,","A Dog's Purpose Collection","en,","IN,US,",1,"based on novel or book,human animal relationship,reincarnation,dog,adaptation,",60,66,"Lasse Hallström,"
"7",7,"Sleepless","en","False",30000000,"/9VEOQvCnd8T8wILgyqjKgyhALw4.jpg","http://www.sleeplessmovie.com/",324542,"tt2072233",20.073,"/9WkUSY33MDPGmz0vtzbsfaxTHVa.jpg","2017-01-12",32540674,95,"Released","Don't judge a cop by his cover.","Sleepless","False",5.9,947,"Action,Crime,Thriller,","Vertigo Entertainment,FilmNation Entertainment,Riverstone Pictures,Open Road Films,","","en,","US,",2,"robbery,kidnapping,gangster,organized crime,undercover cop,mobster,police corruption,las vegas,",19,109,"Baran bo Odar,"
"8",8,"The Bye Bye Man","en","False",7400000,"/xoh4iWOQ3l0JFFD8BBrmLMTvKSU.jpg","http://stxmovies.com/thebyebyeman/",292280,"tt4030600",20.794,"/bape74Eeli5NJ6x4UKuUr604xXh.jpg","2017-01-12",26667197,96,"Released","Don't think it. Don't say it.","The Bye Bye Man","False",5.2,931,"Horror,Thriller,","Los Angeles Media Fund,Intrepid Pictures,STX Entertainment,","","en,","US,",3,"wisconsin,supernatural,party,violence,hooded figure,woman director,young adult,college student,",20,54,"Stacy Title,"
"9",9,"Molly's Game","en","False",30000000,"/yvbXGWjg30sj7rohEZvSe90jSJC.jpg","http://mollysgame.movie/",396371,"tt4209788",20.593,"/in43bQ7k0ttr666IPP94IlbQbTR.jpg","2017-01-01",59284015,140,"Released","Deal with her.","Molly's Game","False",7.1,2542,"Crime,Drama,","The Mark Gordon Company,Entertainment One,STX Entertainment,Huayi Brothers Pictures,Pascal Pictures,","","en,","CA,CN,US,",1,"new york city,poker,gambling,fbi,olympic games,biography,arrest,court,celebrity,russian mafia,based on a true story,beating,lawyer,trial,female protagonist,los angeles, california,courtroom,ice skating,snow skiing,card playing,hotel suite,employer employee relationship,cleavage,high stakes,mob,father daughter relationship,",98,157,"Aaron Sorkin,"
"10",10,"The Post","en","False",50000000,"/8sb4aBST28vN3rBz704XJczS0Ld.jpg","https://www.foxmovies.com/movies/the-post",446354,"tt6294822",19.685,"/h4XG3g6uMMPIBPjAoQhC2QIMdkl.jpg","2017-01-19",179769467,116,"Released","Truth be told","The Post","False",7,3405,"Drama,History,","20th Century Fox,DreamWorks Pictures,Reliance Entertainment,TSG Entertainment,Participant Media,Amblin Entertainment,Pascal Pictures,Star Thrower Entertainment,","","en,","US,",2,"washington d.c.,journalism,newspaper,1970s,vietnam war,biography,politics,richard nixon,based on a true story,pentagon papers,government cover-up,publisher,political thriller,",83,142,"Steven Spielberg,"
"11",11,"Thoroughbreds","en","False",0,"/99Rd26ceIhonpOP5JoqcXYqnkD.jpg","",397722,"tt5649108",13.339,"/pIxZzTfITqBpZxbIGsV01DcoHsT.jpg","2017-01-21",2830775,92,"Released","Good breeding gone bad","Thoroughbreds","False",6.4,650,"Drama,Thriller,","June Pictures,B Story,Big Indie Pictures,","","en,","US,",1,"upper class,father murder,drug dealer,friendship,connecticut,mansion,psychological thriller,murderer,teenager,hitchcockian,rich kid,ruthlessness,dead horse,bad father,suburbs,",21,26,"Cory Finley,"
"12",12,"The Space Between Us","en","False",30000000,"/bmX9R1kzY0fVjR0ZVQUwzD17xFd.jpg","http://stxmovies.com/thespacebetweenus/",365942,"tt3922818",18.666,"/7qZzPkOoauJz5ImOvBd4XgnKs1B.jpg","2017-01-26",14793385,121,"Released","What's your favorite thing about Earth?","The Space Between Us","False",7.1,1904,"Romance,Adventure,Science Fiction,Drama,","Los Angeles Media Fund,Southpaw Entertainment,STX Entertainment,","","en,","US,",2,"planet mars,future,space colony,fish out of water,teenager,scientist,teenage love,search for father,",63,83,"Peter Chelsom,"
"13",13,"CHiPS","en","False",25000000,"/lk5hfcUf6oAibrkyshaXtSjBzda.jpg","http://chipsthemovie.com",417644,"tt0493405",17.757,"/mIHA8Xf6WmxbS83ia4vQ5ojvxV8.jpg","2017-01-16",26800152,100,"Released","Chip Happens","CHiPS","False",6.1,895,"Action,Comedy,Crime,","Primate Pictures,Warner Bros. Pictures,","","es,en,","US,",2,"police,police corruption,los angeles, california,buddy cop,",40,61,"Dax Shepard,"
"14",14,"功夫瑜伽","zh","False",65000000,"/meS8C4fE5RbhZBf754WdQ8MiT9f.jpg","",383785,"tt4217392",17.561,"/rL6XM4fsr1cM5mN2flEhQ8jQter.jpg","2017-01-27",254212245,130,"Released","","Kung Fu Yoga","False",5.8,221,"Mystery,Action,Adventure,Comedy,","Shinework Media,Taihe Entertainment,","","en,pt,hi,zh,","CN,",1,"",23,28,"Stanley Tong,"
"15",15,"iBoy","en","False",1500000,"/qIp0Wn4fEeeB2kpxE6WOjgy1VzU.jpg","https://www.netflix.com/title/80099016",414190,"tt3171832",16.594,"/f5dMAWXLjp8duA44Lp40WZFGZB0.jpg","2017-01-27",0,90,"Released","His powers are his curse","iBoy","False",6,875,"Action,Crime,Science Fiction,","Pretty Pictures,XYZ Films,Wigwam Films,","","en,","GB,",0,"based on novel or book,revenge,brain injury,based on young adult novel,",29,42,"Adam Randall,"
"22",22,"공조","ko","False",8520000,"/yFyDj6Q1OlpxpCbiW3chrp17WnD.jpg","",434119,"tt5606538",12.912,"/gw1iBP09ZaxUgHlvmPpC4Y7dgq6.jpg","2017-01-18",56100000,125,"Released","","Confidential Assignment","False",6.7,45,"Action,","CJ Entertainment,JK Film,Rear Window,HB Entertainment,","Confidential Assignment","ko,","KR,",0,"spy,detective,police,buddy cop,buddy detective duo,inter-korean relations,",11,26,"Kim Sung-hoon,"
"24",24,"T2 Trainspotting","en","False",18000000,"/kR48L1E3OLOkQcnlmpi5wDj7ZZt.jpg","http://www.t2trainspottingmovie.com/",180863,"tt2763304",13.15,"/nmTgtQQjRzAB0mue57Rrxe8y5vv.jpg","2017-01-27",42067430,117,"Released","Face your past. Choose your future.","T2 Trainspotting","False",6.9,2252,"Crime,Drama,","Creative Scotland,DNA Films,TriStar Pictures,Decibel Films,Film4 Productions,Cloud Eight Films,","Trainspotting Collection","bg,en,","GB,",1,"prison,scotland,based on novel or book,bar,fight,drug addiction,blackmail,cocaine,nightclub,junkie,heroin,edinburgh, scotland,friendship,addiction,sequel,revenge,prison escape,extortion,theft,violence,apartment,bar fight,council estate,eastern european,",35,52,"Danny Boyle,"
"26",26,"L'Ascension","fr","False",6600000,"/v3APUgZ3MJLR0wajQaVnaeZebS3.jpg","",421447,"tt5157682",12.228,"/nIPbLk8g4CWJFrvOAlxsnzUwVzz.jpg","2017-01-25",0,103,"Released","","The Climb","False",6.8,559,"Comedy,Romance,Adventure,","France 2 Cinéma,DACP Films,Mars Films,Auvergne Rhône-Alpes Cinéma,","","de,en,fr,ne,","FR,",0,"nepal,based on a true story,mountain climbing,mount everest,proving oneself,",36,10,"Ludovic Bernard,"
"27",27,"रईस","hi","False",46000000,"/ApIIXIAjjFS91VfFW2eveE5VFnO.jpg","http://www.redchillies.com/movies/raees.aspx",363343,"tt3405236",10.589,"/zFYFUfnoXWxeA3n7v4acEqgk2iE.jpg","2017-01-25",0,143,"Released","","Raees","False",6.7,146,"Thriller,Action,Crime,","Red Chillies Entertainment,Excel Entertainment,","","hi,","IN,",0,"bootlegger,bootlegging,",11,36,"Rahul Dholakia,"
"28",28,"Arsenal","en","False",10000000,"/jJk7ymoyrmIIYu9bms0OsmtfeH2.jpg","",388202,"tt5580536",14.087,"/1IqEg8lqcwMtkVQ46UrUaH6R6YA.jpg","2017-01-06",0,92,"Released","Brotherhood has its price.","Arsenal","False",4.6,92,"Action,Crime,Thriller,","Ingenious Media,Highland Film Group,River Bay Films,Tinker Productions,Lionsgate,The Fyzz,EFO Films,","","en,","US,",1,"sibling relationship,kidnapping,mobster,",11,39,"Steven C. Miller,"
